,city,lat,lon,score
0,"Birmingham, Alabama",33.5206608,-86.80248999999999,23.9655923837111
1,"Dothan, Alabama",31.2232313,-85.3904888,40.8237824851853
2,"Huntsville, Alabama",34.7303688,-86.5861037,57.45309045831161
3,"Mobile, Alabama",30.6953657,-88.0398912,43.583725022254
4,"Montgomery, Alabama",32.3668052,-86.2999689,37.927059448997504
5,"Tuscaloosa, Alabama",33.2098407,-87.56917349999999,38.612606280035294
6,"Anchorage, Alaska",61.2180556,-149.9002778,81.2570151612281
7,"Casas Adobes, Arizona",32.3234078,-110.9950966,69.77215490584051
8,"Chandler, Arizona",33.3061605,-111.8412502,77.06384922295742
9,"Gilbert, Arizona",33.3528264,-111.789027,86.4191571255418
10,"Glendale, Arizona",33.5386523,-112.1859866,50.5350156164808
11,"Mesa, Arizona",33.4151843,-111.8314724,62.5032087340703
12,"Peoria, Arizona",33.5805955,-112.2373779,75.43118983167871
13,"Phoenix, Arizona",33.4483771,-112.0740373,47.037529604168704
14,"Scottsdale, Arizona",,,88.2605319762526
15,"Surprise, Arizona",,,77.1865532223635
16,"Tempe, Arizona",33.4255104,-111.9400054,57.7739911402489
17,"Tucson, Arizona",32.2217429,-110.926479,41.618796149732795
18,"Yuma, Arizona",32.6926512,-114.6276916,41.2571805479115
19,"Fort Smith, Arkansas",35.3859242,-94.39854749999999,33.9362786381561
20,"Jonesboro, Arkansas",35.84229670000001,-90.704279,48.247258169938
21,"Little Rock, Arkansas",34.7464809,-92.28959479999999,56.566677319163105
22,"North Little Rock, Arkansas",34.769536,-92.2670941,53.3571324790934
23,"Anaheim, California",33.8352932,-117.9145036,45.657088937143094
24,"Antioch, California",38.0049214,-121.805789,60.4435423090641
25,"Apple Valley, California",34.5008311,-117.1858759,63.7089180373144
26,"Arden-Arcade, California",,,49.980044337276794
27,"Bakersfield, California",,,42.193602491556604
28,"Bellflower, California",33.8816818,-118.1170117,49.7786914447985
29,"Berkeley, California",37.8715926,-122.272747,53.7315251239434
30,"Burbank, California",34.1808392,-118.3089661,57.6404252584206
31,"Carmichael, California",38.617127,-121.3282843,59.853213604753
32,"Carson, California",33.8316745,-118.281693,56.8289562171058
33,"Chico, California",39.7284944,-121.8374777,40.742670362736604
34,"Chula Vista, California",32.6400541,-117.0841955,49.4474131518229
35,"Citrus Heights, California",38.7071247,-121.2810611,67.5619571862227
36,"Clovis, California",36.8252277,-119.7029194,64.6552688688762
37,"Compton, California",33.8958492,-118.2200712,27.9077990357213
38,"Concord, California",,,65.7532880235327
39,"Corona, California",33.8752935,-117.5664384,70.6914716714995
40,"Costa Mesa, California",33.6411316,-117.9186689,65.3555900094161
41,"Daly City, California",37.6879241,-122.4702079,64.9939144254627
42,"Downey, California",33.9401088,-118.1331593,60.5784140195064
43,"East Los Angeles, California",34.0224417,-118.1669736,15.7405750436043
44,"El Cajon, California",32.7947731,-116.9625269,33.5344145791262
45,"Elk Grove, California",38.4087993,-121.3716178,75.43514136500859
46,"El Monte, California",34.0686206,-118.0275667,27.2763810144241
47,"Escondido, California",33.1192068,-117.086421,45.7440363860785
48,"Fairfield, California",38.24935809999999,-122.0399663,62.8726975302654
49,"Fontana, California",,,52.8960869187252
50,"Fremont, California",,,76.713266394198
51,"Fresno, California",36.7468422,-119.7725868,31.5757394744209
52,"Fullerton, California",33.8703596,-117.9242966,59.3249626110077
53,"Garden Grove, California",33.7739053,-117.9414477,43.7461112406994
54,"Glendale, California",34.1425078,-118.255075,35.9278206616959
55,"Hayward, California",37.6688205,-122.0807964,57.9633883671776
56,"Hemet, California",33.7475203,-116.9719684,37.770918042730706
57,"Hesperia, California",34.4263886,-117.3008784,45.1147115193565
58,"Huntington Beach, California",33.660297,-117.9992265,78.12191838396609
59,"Indio, California",33.7205771,-116.2155619,37.856767959253
60,"Inglewood, California",33.9616801,-118.3531311,38.3581265348435
61,"Irvine, California",,,71.8253182099831
62,"Lakewood, California",,,78.3466514406935
63,"Lancaster, California",34.6867846,-118.1541632,49.0387057623532
64,"Long Beach, California",33.7700504,-118.1937395,43.93632967880771
65,"Los Angeles, California",34.0522342,-118.2436849,34.900805689068605
66,"Manteca, California",37.7974273,-121.2160526,70.5388147085889
67,"Merced, California",37.3021632,-120.4829677,30.876911848168696
68,"Modesto, California",37.63909719999999,-120.9968782,52.1154590672432
69,"Moreno Valley, California",33.9424658,-117.2296717,44.1407380507203
70,"Murrieta, California",33.5539143,-117.2139232,90.82145956491439
71,"Napa, California",38.2975381,-122.286865,69.8622720184573
72,"Norwalk, California",33.9022367,-118.081733,49.5810579431727
73,"Oakland, California",,,35.873660060825
74,"Oceanside, California",,,63.414624554434205
75,"Ontario, California",34.0633443,-117.6508876,51.2551598823769
76,"Orange, California",33.7877944,-117.8531119,73.5385545744665
77,"Oxnard, California",34.1975048,-119.1770516,45.155112484858705
78,"Palmdale, California",34.5794343,-118.1164613,46.4571942835491
79,"Pasadena, California",34.1477849,-118.1445155,48.545920444196994
80,"Pittsburg, California",38.0279762,-121.8846806,51.642279747364206
81,"Pomona, California",34.055103,-117.7499909,32.1377285589811
82,"Rancho Cordova, California",38.5890723,-121.302728,57.9109050528777
83,"Rancho Cucamonga, California",34.10639889999999,-117.5931084,70.7897571264761
84,"Redding, California",40.5865396,-122.3916754,43.5198068794314
85,"Rialto, California",,,41.8354778976518
86,"Richmond, California",,,45.3394029406882
87,"Riverside, California",33.9533487,-117.3961564,50.070480975410206
88,"Roseville, California",38.7521235,-121.2880059,90.48808733605921
89,"Sacramento, California",38.5815719,-121.4943996,41.1882440291442
90,"Salinas, California",36.6777372,-121.6555013,48.598406362221795
91,"San Bernardino, California",34.1083449,-117.2897652,16.0050992361974
92,"San Buenaventura (Ventura), California",34.274646,-119.2290316,74.0620255845142
93,"San Diego, California",32.715738,-117.1610838,53.185378297169706
94,"San Francisco, California",37.7749295,-122.4194155,46.082003301498396
95,"San Jose, California",37.3382082,-121.8863286,55.676520954609394
96,"San Leandro, California",37.7249296,-122.1560768,59.9693345534299
97,"San Mateo, California",,,60.1629554165234
98,"Santa Ana, California",33.7455731,-117.8678338,36.666966671631606
99,"Santa Barbara, California",34.4208305,-119.6981901,50.9148092419017
100,"Santa Clara, California",37.3541079,-121.9552356,74.7923103626657
101,"Santa Clarita, California",34.3916641,-118.542586,80.5095553113633
102,"Santa Maria, California",34.9530337,-120.4357191,41.4198382950909
103,"Santa Monica, California",34.0194543,-118.4911912,46.7315222729468
104,"Santa Rosa, California",38.440429,-122.7140548,62.5872554924056
105,"Simi Valley, California",34.2694474,-118.781482,82.74059674570391
106,"South Gate, California",33.954737,-118.2120161,28.4787159605879
107,"Stockton, California",37.9577016,-121.2907796,32.390751211845796
108,"Sunnyvale, California",,,75.0175047677413
109,"Temecula, California",,,77.7032312819807
110,"Thousand Oaks, California",34.1705609,-118.8375937,87.5898695877244
111,"Torrance, California",33.8358492,-118.3406288,75.8639026754331
112,"Turlock, California",37.4946568,-120.8465941,51.702833024549506
113,"Vacaville, California",38.3565773,-121.9877444,79.3544706208538
114,"Vallejo, California",38.1040864,-122.2566367,57.7827775385055
115,"Victorville, California",34.5362184,-117.2927641,44.1994266392474
116,"Visalia, California",36.3302284,-119.2920585,37.3087246648629
117,"Vista, California",33.2000368,-117.2425355,61.5790135053452
118,"West Covina, California",34.0686208,-117.9389526,58.306935828852794
119,"Westminster, California",33.7513419,-117.9939921,46.4820323168685
120,"Whittier, California",,,46.452520588431504
121,"Yuba City, California",,,49.6439083547031
122,"Arvada, Colorado",39.8027644,-105.0874842,83.0594478376409
123,"Aurora, Colorado",39.7294319,-104.8319195,65.0651496491513
124,"Colorado Springs, Colorado",38.8338816,-104.8213634,66.15119818504729
125,"Denver, Colorado",39.7392358,-104.990251,44.65982270735721
126,"Fort Collins, Colorado",40.5852602,-105.084423,75.9017290714567
127,"Greeley, Colorado",40.4233142,-104.7091322,53.0986142222036
128,"Lakewood, Colorado",39.7047095,-105.0813734,72.7039818127271
129,"Longmont, Colorado",40.1672068,-105.1019275,70.8178957730825
130,"Loveland, Colorado",40.3977612,-105.0749801,68.0269319121303
131,"Pueblo, Colorado",38.2544472,-104.6091409,35.5838169219574
132,"Thornton, Colorado",,,81.2419520896668
133,"Westminster, Colorado",,,70.2360806296326
134,"Bridgeport, Connecticut",41.1865478,-73.19517669999999,29.7075185916886
135,"Hartford, Connecticut",41.76371109999999,-72.6850932,10.3407523378469
136,"New Britain, Connecticut",41.6612104,-72.7795419,31.316765948256997
137,"New Haven, Connecticut",41.308274,-72.9278835,28.656201998621203
138,"Norwalk, Connecticut",41.11774399999999,-73.4081575,63.5831168331574
139,"Stamford, Connecticut",41.0534302,-73.5387341,66.5130405634719
140,"Waterbury, Connecticut",41.5581525,-73.0514965,35.2020454189884
141,"Wilmington, Delaware",39.7390721,-75.5397878,36.474434457403895
142,"Washington, District of Columbia",38.9071923,-77.0368707,41.91942394397179
143,"Boynton Beach, Florida",26.5317866,-80.0905465,61.60672539121321
144,"Brandon, Florida",,,72.29896118424729
145,"Cape Coral, Florida",,,59.224361188611496
146,"Clearwater, Florida",27.9658533,-82.8001026,49.7394340851736
147,"Coral Springs, Florida",26.271192,-80.2706044,73.5701017907042
148,"Davie, Florida",26.0764783,-80.25211569999999,65.9902771834376
149,"Deerfield Beach, Florida",26.3184123,-80.09976569999999,52.8171557343318
150,"Delray Beach, Florida",26.4614625,-80.0728201,47.147197214878105
151,"Deltona, Florida",28.9005446,-81.26367379999999,61.5965696783344
152,"Fort Lauderdale, Florida",26.1224386,-80.13731740000001,40.593537791690395
153,"Fort Myers, Florida",26.640628,-81.8723084,31.384553747881103
154,"Gainesville, Florida",29.6516344,-82.32482619999999,31.241048113934497
155,"Hialeah, Florida",25.8575963,-80.2781057,12.990030244179401
156,"Hollywood, Florida",,,43.9452793515238
157,"Jacksonville, Florida",,,54.285102946023905
158,"Kissimmee, Florida",28.2919557,-81.40757099999999,38.930503948411996
159,"Lakeland, Florida",28.0394654,-81.9498042,52.4782689335312
160,"Largo, Florida",27.9094665,-82.7873244,57.363060213716494
161,"Lauderhill, Florida",26.1403635,-80.2133808,28.890943579581
162,"Lehigh Acres, Florida",26.6253497,-81.6248026,39.2887171473055
163,"Melbourne, Florida",28.0836269,-80.60810889999999,43.8556092526741
164,"Miami, Florida",25.7616798,-80.1917902,4.93639026101773
165,"Miami Beach, Florida",25.790654,-80.1300455,35.4629308221512
166,"Miramar, Florida",25.9860762,-80.30356019999999,62.3055122014419
167,"Orlando, Florida",28.5383355,-81.3792365,39.860724893592796
168,"Palm Bay, Florida",,,57.6717193368954
169,"Palm Coast, Florida",29.5844524,-81.20786989999999,60.363097102332496
170,"Pembroke Pines, Florida",26.007765,-80.2962555,65.5251444815582
171,"Plantation, Florida",26.1275862,-80.23310359999999,74.3813137958455
172,"Pompano Beach, Florida",26.2378597,-80.1247667,43.8247581704246
173,"Port St. Lucie, Florida",27.2730492,-80.3582261,61.319427602613295
174,"St. Petersburg, Florida",27.7518284,-82.6267345,47.04813151351149
175,"Spring Hill, Florida",28.4831682,-82.5369872,54.075606416907796
176,"Sunrise, Florida",26.1669711,-80.25659499999999,53.9830655079534
177,"Tallahassee, Florida",30.4382559,-84.28073289999999,47.9603482368412
178,"Tampa, Florida",27.950575,-82.4571776,40.6129533145965
179,"Town 'n' Country, Florida",,,49.2586828466049
180,"West Palm Beach, Florida",,,42.122259470746
181,"Albany, Georgia",31.5785074,-84.15574099999999,19.132931559613898
182,"Athens-Clarke County unified government (balance), Georgia",33.9609323,-83.37608,31.7910310477281
183,"Atlanta, Georgia",33.7489954,-84.3879824,27.355795439201998
184,"Augusta-Richmond County consolidated government (balance), Georgia",33.4704791,-81.96126660000002,39.7785756378415
185,"Savannah, Georgia",32.0835407,-81.09983419999999,35.6855388968612
186,"Warner Robins, Georgia",32.6130007,-83.624201,43.6931725294858
187,"Boise City, Idaho",43.6187102,-116.2146068,61.286866684924604
188,"Nampa, Idaho",43.5407172,-116.5634624,39.7724665388821
189,"Aurora, Illinois",41.7605849,-88.32007150000001,59.17572554451429
190,"Bloomington, Illinois",40.4842027,-88.99368729999999,53.978645548876
191,"Chicago, Illinois",41.8781136,-87.6297982,35.1398195064359
192,"Decatur, Illinois",39.8403147,-88.9548001,30.4858220975565
193,"Elgin, Illinois",42.0354084,-88.2825668,64.188296491768
194,"Joliet, Illinois",41.525031,-88.0817251,55.1417851138404
195,"Naperville, Illinois",41.7508391,-88.1535352,86.60261979985171
196,"Peoria, Illinois",40.6936488,-89.5889864,42.6758656709179
197,"Rockford, Illinois",42.2711311,-89.0939952,35.700410425030206
198,"Skokie village, Illinois",42.0324025,-87.7416246,62.142053409259205
199,"Springfield, Illinois",39.78172130000001,-89.6501481,52.9268553012271
200,"Waukegan, Illinois",42.3636331,-87.84479379999999,36.230231891969794
201,"Bloomington, Indiana",,,37.5539347958777
202,"Evansville, Indiana",,,36.436883622207496
203,"Fort Wayne, Indiana",41.079273,-85.1393513,42.9926114040351
204,"Gary, Indiana",41.5933696,-87.3464271,25.9081488345474
205,"Hammond, Indiana",41.5833688,-87.5000412,39.8532998589884
206,"Indianapolis (balance), Indiana",39.6756479,-86.1482205,43.1981145277125
207,"Lafayette, Indiana",40.4167022,-86.87528689999999,52.7708888320817
